category,english,nepalbhasa_devanagari,nepalbhasa_transliteration
verb,kiss,चुम्बन गर्नु,Chumban garnu
verb,greet,अभिवादन गर्नु,Abhivadan garnu
verb,invite,निमन्त्रण दिनु,Nimantran dinu
verb,refuse,अस्वीकार गर्नु,Aswikar garnu
verb,promise,वाचा गर्नु,Wacha garnu
verb,lie,झूठ बोल्नु,Jhuth bolnu
verb,confess,स्वीकार गर्नु,Swikar garnu
verb,argue,बहस गर्नु,Bahas garnu
verb,agree,सहमत हुनु,Sahamat hunu
verb,disagree,असहमत हुनु,Asahamat hunu
verb,explain,व्याख्या गर्नु,Byakhya garnu
verb,describe,वर्णन गर्नु,Barnan garnu
verb,ask,सोध्नु,Sodhnu
verb,answer,जवाफ दिनु,Jawaf dinu
verb,translate,अनुवाद गर्नु,Anubad garnu
verb,pronounce,उच्चारण गर्नु,Ucharan garnu
adjective,young,जवान,Jaban
adjective,old (age),बुढो,Budho
adjective,smart,चतुर,Chatur
adjective,foolish,मूर्ख,Murkha
adjective,brave,साहसी,Sahasi
adjective,cowardly,कायर,Kayar
adjective,honest,इमानदार,Imandar
adjective,dishonest,बेइमान,Beiman
adjective,generous,उदार,Udar
adjective,greedy,लोभी,Lobhi
adjective,lazy,आलसी,Alasi
adjective,hardworking,मिहिनेती,Mihineti
adjective,cruel,क्रूर,Krur
adjective,gentle,कोमल,Komal
adjective,polite,विनम्र,Binamra
adjective,rude,असभ्य,Asabhya
adjective,clever,होशियार,Hoshiyar
adjective,stupid,बुद्धु,Buddhu
adjective,funny,हाँसिलो,Hansilo
adjective,serious,गम्भीर,Gambhir
adjective,strange,अजीब,Ajib
adjective,familiar,चिनेको,Chineko
adjective,important,महत्त्वपूर्ण,Mahattwapurna
adjective,useless,बेकार,Bekar
adjective,possible,सम्भव,Sambhab
adjective,impossible,असम्भव,Asambhab
adjective,necessary,आवश्यक,Abashyak
adjective,optional,ऐच्छिक,Aaichik
adjective,complete,पूर्ण,Purna
adjective,incomplete,अपूर्ण,Apurna
adjective,visible,देखिने,Dekhine
adjective,hidden,लुकेको,Lukeko
adjective,awake,ब्युँझेको,Byunjheko
adjective,asleep,सुतेको,Suteko
adjective,alive,जीवित,Jivit
adjective,dead,मृत,Mruta
adjective,open,खुला,Khula
adjective,closed,बन्द,Band
adjective,full,भरिएको,Bhariyeko
adjective,empty,खाली,Khali
adjective,sharp,तीखो,Tikho
adjective,blunt,भोँटो,Bhonto
adjective,smooth,चिल्लो,Chillo
adjective,rough,खस्रो,Kharo
adjective,wet,भिजेको,Bhijeko
adjective,dry,सुखेको,Sukheko
adjective,narrow,साँघुरो,Sanghuro
adjective,wide,चौडा,Chauda
adjective,deep,गहिरो,Gahiro
adjective,shallow,उथलो,Uthalo
adverb,quickly,छिटो,Chhito
adverb,slowly,बिस्तारै,Bistari
adverb,carefully,ध्यानले,Dhyanle
adverb,loudly,ठूलो आवाजमा,Thulo abajama
adverb,quietly,बिस्तारै,Bistari
adverb,well,राम्रोसँग,Ramrosung
adverb,badly,नराम्रोसँग,Naramrosung
adverb,together,सँगै,Sungai
adverb,alone,एक्लै,Eklai
adverb,almost,लगभग,Lagabhag
adverb,exactly,ठीक,Thik
adverb,perhaps,सायद,Sayad
adverb,certainly,निश्चित,Nishchit
adverb,especially,विशेषगरी,Bisheshagari
adverb,only,मात्र,Matra
adverb,also,पनि,Pani
adverb,even,समेत,Samet
adverb,still,अझै,Ajhai
adverb,already,पहिले नै,Pahile nai
adverb,soon,चाँडै,Chandai
adverb,recently,हालसालै,Halsalai
adverb,suddenly,अचानक,Achanak
adverb,gradually,बिस्तारै,Bistari
adverb,often,प्रायः,Prayah
adverb,rarely,बिरलै,Biralai
adverb,again,फेरि,Pheri
adverb,once,एकपटक,Ekapatak
adverb,twice,दुईपटक,Duipatak
postposition,in,मा,Ma
postposition,on,माथि,Mathi
postposition,under,तल,Tal
postposition,above,माथि,Mathi
postposition,below,तल,Tal
postposition,beside,छेउमा,Chheuma
postposition,between,बिचमा,Bichama
postposition,behind,पछाडि,Pachhadi
postposition,in front of,अगाडि,Agadi
postposition,inside,भित्र,Bhitra
postposition,outside,बाहिर,Bahir
postposition,around,वरिपरि,Baripari
postposition,through,बाट,Bata
postposition,near,नजिक,Najik
postposition,far,टाढा,Tadha
postposition,without,बिना,Bina
postposition,with,सँग,Sung
postposition,for,को लागि,Ko lagi
postposition,against,विरुद्ध,Biruddha
postposition,until,सम्म,Samma
conjunction,and,र,Ra
conjunction,but,तर,Tara
conjunction,or,वा,Wa
conjunction,because,किनभने,Kinbhane
conjunction,so,त्यसैले,Tyasaile
conjunction,although,यद्यपि,Yadyapi
conjunction,if,यदि,Yadi
conjunction,unless,नभए,Nabhae
conjunction,while,जब,Jaba
conjunction,after,पछि,Pachhi
conjunction,before,अघि,Aghi
conjunction,until,सम्म,Samma
conjunction,since,देखि,Dekhi
conjunction,both,दुवै,Duvai
conjunction,neither,न ... न,Na...na
conjunction,either,कुनै एउटा,Kunai euta
society,government,सरकार,Sarkar
society,democracy,लोकतन्त्र,Loktantra
society,election,निर्वाचन,Nirbachan
society,vote,मत,Mata
society,parliament,संसद,Sansad
society,law,कानुन,Kanun
society,rights,अधिकार,Adhikar
society,community,समुदाय,Samuday
society,citizen,नागरिक,Nagarik
society,population,जनसंख्या,Janasankhya
society,education,शिक्षा,Shiksha
society,poverty,गरिबी,Garibi
society,equality,समानता,Samanata
society,justice,न्याय,Nyay
society,peace,शान्ति,Shanti
society,cooperation,सहयोग,Sahayog
society,development,विकास,Bikas
society,tradition,परम्परा,Parampara
number,eleven,थ्व ति,Thwa ti
number,twelve,थ्व नि,Thwa ni
number,twenty,नि थ्व,Ni thwa
number,thirty,सो थ्व,So thwa
number,forty,पि थ्व,Pi thwa
number,fifty,न्या थ्व,Nya thwa
number,sixty,खु थ्व,Khu thwa
number,seventy,न्हि थ्व,Nhi thwa
number,eighty,च्या थ्व,Chya thwa
number,ninety,गु थ्व,Gu thwa
number,first,तिगु,Tigu
number,second,निगु,Nigu
number,third,सोगु,Sogu
number,fourth,पिगु,Pigu
number,fifth,न्यागु,Nyagu
number,half,आधा,Adha
number,quarter,पाउ,Pau
number,double,दोब्बर,Dobbar
days,Sunday,आइतबार,Aitabar
days,Monday,सोमबार,Somabar
days,Tuesday,मंगलबार,Mangalbar
days,Wednesday,बुधबार,Budhabar
days,Thursday,बिहीबार,BihiBar
days,Friday,शुक्रबार,Shukrabar
days,Saturday,शनिबार,Shanibar
month,Baishakh,बैशाख,Baisakh
month,Jestha,जेठ,Jestha
month,Ashadh,असार,Asar
month,Shrawan,साउन,Saun
month,Bhadra,भदौ,Bhadau
month,Ashwin,असोज,Asoj
month,Kartik,कार्तिक,Kartik
month,Mangsir,मंसिर,Mansir
month,Poush,पुस,Pus
month,Magh,माघ,Magh
month,Falgun,फाल्गुन,Phalgun
month,Chaitra,चैत,Chait
direction,north,उत्तर,Uttar
direction,south,दक्षिण,Dakshin
direction,east,पूर्व,Purba
direction,west,पश्चिम,Pashchim
direction,northeast,उत्तरपूर्व,Uttarpurba
direction,northwest,उत्तरपश्चिम,Uttarpashchim
direction,left,बायाँ,Bayan
direction,right,दायाँ,Dayan
direction,straight,सीधा,Sidha
direction,up,माथि,Mathi
direction,down,तल,Tal
direction,forward,अगाडि,Agadi
direction,backward,पछाडि,Pachhadi
newari_culture,Newah,नेवाः,Newah
newari_culture,Guthi,गुथि,Guthi
newari_culture,Bahal,बहाल,Bahal
newari_culture,Nepal Bhasa,नेपाल भाषा,Nepal Bhasa
newari_culture,Ranjana script,रञ्जना लिपि,Ranjana lipi
newari_culture,Prachalit script,प्रचलित लिपि,Prachalit lipi
newari_culture,Charya dance,चर्या नृत्य,Charya nritya
newari_culture,Lakhe,लाखे,Lakhe
newari_culture,Kumari,कुमारी,Kumari
newari_culture,Devi,देवी,Devi
newari_culture,Agam,आगम,Agam
newari_culture,tole,टोल,Tol
newari_culture,sattal,सत्तल,Sattal
newari_culture,hiti,हिटी,Hiti
newari_culture,dhunge dhara,ढुंगे धारा,Dhunge dhara
newari_culture,pati,पाटी,Pati
newari_culture,sukunda,सुकुन्दा,Sukunda
newari_culture,sinhamu,सिंहमु,Sinhamu
tool,hammer,हथौडा,Hathoda
tool,axe,बञ्चरो,Bancharo
tool,saw,करौती,Karauti
tool,knife,चक्कु,Chakku
tool,scissors,कैंची,Kainchi
tool,needle,सिउरो,Siuro
tool,thread,धागो,Dhago
tool,rope,डोरी,Dori
tool,shovel,बेल्चा,Belcha
tool,ladder,भर्‍याङ,Bharyang
tool,scale,तराजु,Taraju
tool,container,भाँडो,Bhando
sport,football,फुटबल,Phutabal
sport,cricket,क्रिकेट,Kriket
sport,volleyball,भलिबल,Bhalibal
sport,basketball,बास्केटबल,Baskekabal
sport,swimming,पौडाई,Paudai
sport,running,दौड,Daud
sport,wrestling,कुस्ती,Kusti
sport,archery,तीरन्दाजी,Tirandaji
sport,chess,बुद्धिचाल,Buddhichal
sport,carrom,क्यारम,Kyaram
sport,kite,चंगा,Changa
sport,marbles,गुलिचट,Gulichat
music,drum,ढोल,Dhol
music,flute,बाँसुरी,Bansuri
music,sitar,सितार,Sitar
music,harmonium,हार्मोनियम,Harmonium
music,tabla,तबला,Tabla
music,dhimay,धिमाय,Dhimay
music,naumati baja,नौमती बाजा,Naumati baja
music,madal,मादल,Madal
music,sarangi,सारङ्गी,Sarangi
music,melody,धुन,Dhun
music,rhythm,ताल,Tal
music,note,स्वर,Swara
